student_id,school_name,governorate,city,grade,grade_label,study_hours,attendance_pct,assignments_done,quizzes_solved,login_frequency,missed_deadlines,retries,revision_sessions,time_per_task_min,final_score,learner_status
G11_S03_0062,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,4.32,82.4,19,2.0,5,9,1,4,35.3,47.1,average
G12_S08_0078,Port Said Secondary School,Port Said,Port Said,12,Grade 12 - Third Secondary,4.76,76.9,10,,19,9,2,0,29.3,28.2,at_risk
G12_S05_0057,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,3.48,79.6,17,9.0,14,2,1,2,34.6,70.1,strong
G10_S02_0050,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,5.21,70.5,2,9.0,26,6,0,6,27.8,33.6,at_risk
G10_S03_0144,Heliopolis Secondary School for Boys,Cairo,Cairo,10,Grade 10 - First Secondary,4.97,77.9,18,,23,7,0,6,47.1,53.6,average
G11_S08_0056,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,3.26,68.7,9,7.0,20,3,1,1,32.8,32.0,at_risk
G12_S03_0135,Heliopolis Secondary School for Boys,Cairo,Cairo,12,Grade 12 - Third Secondary,8.5,79.0,1,6.0,14,8,1,2,24.5,26.6,at_risk
G10_S07_0045,Al-Raml Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,3.88,93.3,2,3.0,2,9,3,1,25.4,22.8,at_risk
G11_S04_0082,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,5.19,71.4,12,12.0,26,9,2,0,20.4,34.2,at_risk
G11_S07_0144,Al-Raml Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,3.83,90.9,12,,1,7,0,0,40.9,20.7,at_risk
G12_S04_0094,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,4.46,91.4,8,5.0,29,2,0,6,42.6,54.5,average
G10_S05_0121,Ahmed Orabi Secondary School,Giza,Giza,10,Grade 10 - First Secondary,2.49,71.0,12,11.0,25,2,4,0,28.0,65.8,average
G10_S08_0147,Port Said Secondary School,Port Said,Port Said,10,Grade 10 - First Secondary,4.34,71.3,9,1.0,1,5,4,6,45.7,43.4,average
G12_S02_0101,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,3.37,53.0,1,4.0,9,3,1,1,11.6,22.2,at_risk
G12_S01_0013,Al-Orman High School,Cairo,Giza,12,Grade 12 - Third Secondary,,73.4,4,10.0,5,4,1,0,46.6,32.1,at_risk
G11_S03_0045,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,1.78,80.5,19,2.0,28,3,1,0,30.3,33.3,at_risk
G12_S02_0029,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,5.7,56.7,0,0.0,1,7,1,2,14.3,3.4,at_risk
G12_S05_0083,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,2.94,57.1,0,12.0,9,0,0,2,44.8,31.7,at_risk
G10_S02_0103,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,4.96,87.2,12,5.0,19,7,2,0,13.1,33.5,at_risk
G10_S02_0008,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,5.46,73.0,11,5.0,27,0,4,3,30.0,68.6,average
G10_S02_0138,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,4.1,73.2,6,8.0,27,9,4,0,17.8,12.4,at_risk
G11_S01_0059,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,6.73,73.3,0,11.0,16,3,1,2,34.7,43.4,average
G10_S10_0107,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,4.09,,9,1.0,21,8,4,7,36.7,27.6,at_risk
G12_S09_0092,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,3.36,100.0,12,12.0,14,6,3,0,30.8,57.0,average
G12_S08_0064,Port Said Secondary School,Port Said,Port Said,12,Grade 12 - Third Secondary,6.29,98.2,4,3.0,23,1,1,2,32.3,57.3,average
G10_S10_0013,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,4.12,72.8,6,,21,2,2,3,36.1,68.1,average
G11_S04_0093,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,3.79,79.9,9,14.0,25,0,4,7,36.7,83.5,strong
G10_S01_0024,Al-Orman High School,Cairo,Giza,10,Grade 10 - First Secondary,4.14,68.3,11,13.0,13,1,2,3,23.4,54.2,average
G11_S08_0128,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,,91.0,11,3.0,27,5,1,4,9.0,42.4,average
G10_S05_0094,Ahmed Orabi Secondary School,Giza,Giza,10,Grade 10 - First Secondary,5.84,75.3,3,9.0,10,5,1,0,29.2,49.7,average
G10_S03_0116,Heliopolis Secondary School for Boys,Cairo,Cairo,10,Grade 10 - First Secondary,4.94,86.7,16,11.0,21,7,1,5,35.7,72.0,strong
G12_S06_0016,Smouha Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,3.51,85.2,10,6.0,14,7,1,5,18.6,44.0,average
G10_S02_0149,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,5.49,75.5,6,10.0,15,0,4,5,29.5,89.0,strong
G12_S07_0078,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,5.75,83.4,8,2.0,12,7,3,4,45.7,44.3,average
G12_S06_0053,Smouha Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,5.48,89.3,3,12.0,9,8,3,7,34.0,50.9,average
G11_S04_0018,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,2.08,84.5,1,11.0,28,5,0,6,38.4,37.4,at_risk
G10_S06_0058,Smouha Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,4.52,65.7,14,5.0,3,0,2,1,26.3,48.7,average
G11_S08_0034,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,4.5,68.6,14,5.0,14,7,3,0,31.5,43.1,average
G10_S06_0027,Smouha Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,5.75,59.7,5,14.0,7,2,1,7,29.3,80.4,strong
G12_S02_0121,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,3.02,72.3,5,,7,4,4,2,36.2,52.7,average
G10_S03_0130,Heliopolis Secondary School for Boys,Cairo,Cairo,10,Grade 10 - First Secondary,6.85,,4,5.0,26,6,1,3,21.6,41.4,average
G11_S08_0106,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,6.07,73.5,17,14.0,10,3,0,3,16.6,70.1,strong
G12_S02_0126,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,2.34,69.1,6,2.0,28,7,2,4,34.1,17.1,at_risk
G11_S08_0084,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,4.59,77.0,19,4.0,8,4,0,3,16.7,57.0,average
G10_S03_0023,Heliopolis Secondary School for Boys,Cairo,Cairo,10,Grade 10 - First Secondary,7.9,61.7,5,13.0,18,0,4,2,19.8,65.4,average
G11_S03_0079,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,4.14,80.3,1,2.0,26,3,0,2,32.5,29.5,at_risk
G11_S01_0110,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,5.04,58.1,14,4.0,3,7,4,3,21.1,34.7,at_risk
G11_S02_0069,Zamalek Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,5.65,86.0,8,1.0,13,3,4,6,56.7,47.5,average
G10_S06_0015,Smouha Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,7.74,74.8,15,2.0,29,4,3,3,28.6,52.3,average
G11_S03_0125,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,3.77,75.3,6,10.0,29,9,3,1,42.5,26.7,at_risk
G11_S05_0143,Ahmed Orabi Secondary School,Giza,Giza,11,Grade 11 - Second Secondary,3.4,67.9,13,0.0,7,8,1,3,39.8,23.6,at_risk
G10_S10_0112,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,3.31,62.0,9,4.0,23,0,0,5,35.4,36.2,at_risk
G12_S06_0130,Smouha Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,4.8,82.1,15,7.0,1,5,1,2,41.7,49.2,average
G10_S09_0145,Mansoura Secondary School for Boys,Dakahlia,Mansoura,10,Grade 10 - First Secondary,4.85,78.6,1,10.0,12,3,1,0,41.7,29.9,at_risk
G12_S01_0050,Al-Orman High School,Cairo,Giza,12,Grade 12 - Third Secondary,5.54,87.6,13,12.0,22,0,4,1,29.1,68.7,average
G12_S09_0125,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,2.41,100.0,19,3.0,20,5,4,0,37.9,47.2,average
G10_S10_0026,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,5.63,,1,14.0,24,3,2,7,31.6,52.6,average
G11_S01_0064,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,7.32,52.1,17,5.0,23,9,1,3,38.4,48.3,average
G10_S05_0069,Ahmed Orabi Secondary School,Giza,Giza,10,Grade 10 - First Secondary,7.54,83.9,1,6.0,8,4,0,0,35.6,53.2,average
G12_S10_0045,Assiut Secondary School,Assiut,Assiut,12,Grade 12 - Third Secondary,4.99,48.3,6,4.0,1,6,0,0,35.0,0.0,at_risk
G11_S06_0020,Smouha Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,2.17,77.8,9,6.0,22,9,0,1,41.7,27.0,at_risk
G11_S08_0134,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,4.68,72.5,18,10.0,10,5,4,0,34.5,53.6,average
G11_S07_0106,Al-Raml Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,6.24,94.6,0,14.0,21,9,0,4,23.0,46.8,average
G11_S04_0073,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,5.44,72.3,14,,3,2,2,2,44.6,54.9,average
G11_S08_0081,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,6.13,84.0,14,5.0,17,1,0,7,52.0,91.3,strong
G12_S08_0071,Port Said Secondary School,Port Said,Port Said,12,Grade 12 - Third Secondary,3.83,76.8,14,0.0,28,7,4,4,32.6,17.8,at_risk
G11_S05_0111,Ahmed Orabi Secondary School,Giza,Giza,11,Grade 11 - Second Secondary,4.11,72.6,16,1.0,28,6,3,3,33.1,47.1,average
G12_S02_0136,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,,100.0,18,4.0,5,3,4,5,37.0,65.6,average
G11_S03_0142,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,2.0,,15,6.0,26,2,1,2,39.7,52.5,average
G11_S08_0082,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,2.38,100.0,7,8.0,27,2,0,0,26.2,38.7,at_risk
G12_S07_0057,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,5.32,86.0,17,6.0,9,7,2,2,27.8,51.7,average
G10_S09_0122,Mansoura Secondary School for Boys,Dakahlia,Mansoura,10,Grade 10 - First Secondary,7.47,81.8,5,3.0,17,4,3,0,8.7,37.6,at_risk
G12_S01_0114,Al-Orman High School,Cairo,Giza,12,Grade 12 - Third Secondary,1.89,86.8,1,8.0,16,8,0,4,20.1,17.3,at_risk
G12_S04_0095,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,4.19,71.1,11,2.0,25,7,4,2,24.1,14.3,at_risk
G11_S02_0133,Zamalek Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,7.43,72.5,6,11.0,13,0,2,2,30.1,82.2,strong
G10_S08_0041,Port Said Secondary School,Port Said,Port Said,10,Grade 10 - First Secondary,4.73,71.0,2,2.0,23,3,3,0,31.5,29.3,at_risk
G11_S01_0052,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,3.94,75.3,3,11.0,26,2,4,0,30.1,22.1,at_risk
G11_S05_0134,Ahmed Orabi Secondary School,Giza,Giza,11,Grade 11 - Second Secondary,5.02,50.7,10,14.0,27,5,3,5,29.6,49.5,average
G12_S10_0070,Assiut Secondary School,Assiut,Assiut,12,Grade 12 - Third Secondary,4.05,89.0,2,14.0,10,8,2,3,29.1,38.0,at_risk
G12_S02_0025,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,4.09,78.6,6,12.0,13,5,4,6,34.4,63.7,average
G12_S10_0113,Assiut Secondary School,Assiut,Assiut,12,Grade 12 - Third Secondary,4.29,64.9,15,5.0,16,0,1,1,30.3,52.0,average
G12_S01_0090,Al-Orman High School,Cairo,Giza,12,Grade 12 - Third Secondary,4.83,95.7,4,13.0,7,8,3,0,16.2,31.5,at_risk
G11_S04_0142,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,6.3,,11,11.0,25,5,0,7,6.3,75.6,strong
G10_S04_0029,Maadi Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,5.2,73.8,3,4.0,9,1,2,3,36.9,38.9,at_risk
G11_S08_0102,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,4.99,89.8,3,7.0,28,3,4,4,38.0,50.8,average
G11_S09_0023,Mansoura Secondary School for Boys,Dakahlia,Mansoura,11,Grade 11 - Second Secondary,4.7,84.3,1,11.0,28,2,1,0,18.4,57.9,average
G11_S06_0036,Smouha Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,4.75,83.9,1,1.0,5,3,0,6,22.6,39.6,at_risk
G11_S02_0071,Zamalek Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,3.34,100.0,3,8.0,18,6,2,6,21.6,41.7,average
G12_S08_0114,Port Said Secondary School,Port Said,Port Said,12,Grade 12 - Third Secondary,6.13,67.6,10,0.0,21,8,2,7,27.8,29.4,at_risk
G12_S09_0090,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,4.29,93.5,15,3.0,19,8,3,5,7.5,54.5,average
G11_S09_0027,Mansoura Secondary School for Boys,Dakahlia,Mansoura,11,Grade 11 - Second Secondary,3.8,74.9,14,13.0,29,3,4,0,35.5,76.5,strong
G12_S07_0035,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,5.07,91.5,9,1.0,10,3,2,4,19.2,56.5,average
G11_S07_0094,Al-Raml Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,3.82,,0,,18,6,1,0,35.1,15.6,at_risk
G10_S05_0106,Ahmed Orabi Secondary School,Giza,Giza,10,Grade 10 - First Secondary,3.74,41.5,7,11.0,22,5,2,4,11.0,48.8,average
G10_S01_0052,Al-Orman High School,Cairo,Giza,10,Grade 10 - First Secondary,7.32,91.7,4,4.0,23,8,1,3,56.3,38.4,at_risk
G10_S05_0092,Ahmed Orabi Secondary School,Giza,Giza,10,Grade 10 - First Secondary,1.86,66.2,5,12.0,17,1,2,7,30.2,66.3,average
G12_S04_0123,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,3.98,,11,7.0,12,9,0,1,13.7,29.7,at_risk
G11_S04_0003,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,5.46,100.0,18,1.0,11,3,0,6,22.3,60.2,average
G12_S07_0105,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,4.94,86.5,6,4.0,27,3,0,6,32.4,57.1,average
G10_S07_0016,Al-Raml Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,3.16,68.1,19,3.0,26,4,3,7,36.7,50.9,average
G11_S08_0001,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,3.13,82.4,0,13.0,7,7,2,6,53.2,43.2,average
G10_S01_0027,Al-Orman High School,Cairo,Giza,10,Grade 10 - First Secondary,6.92,81.1,10,14.0,22,0,3,3,32.6,88.4,strong
G12_S03_0126,Heliopolis Secondary School for Boys,Cairo,Cairo,12,Grade 12 - Third Secondary,6.8,63.0,3,11.0,23,9,1,6,18.9,31.5,at_risk
G12_S04_0109,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,5.52,73.1,14,8.0,29,3,1,1,30.2,58.2,average
G11_S08_0030,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,6.28,81.1,3,9.0,18,3,3,5,41.7,57.0,average
G12_S03_0143,Heliopolis Secondary School for Boys,Cairo,Cairo,12,Grade 12 - Third Secondary,4.75,79.8,7,0.0,20,8,4,7,20.7,24.4,at_risk
G10_S02_0148,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,3.31,73.1,15,8.0,28,4,0,1,20.6,57.4,average
G10_S02_0147,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,6.38,59.6,7,2.0,28,8,0,4,37.1,17.4,at_risk
G11_S10_0032,Assiut Secondary School,Assiut,Assiut,11,Grade 11 - Second Secondary,4.02,70.8,3,10.0,15,7,0,1,24.9,32.3,at_risk
G12_S09_0088,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,2.91,66.2,15,14.0,18,2,0,5,27.7,66.9,average
G11_S05_0024,Ahmed Orabi Secondary School,Giza,Giza,11,Grade 11 - Second Secondary,2.83,77.1,16,2.0,13,1,4,0,35.4,41.0,average
G10_S01_0133,Al-Orman High School,Cairo,Giza,10,Grade 10 - First Secondary,4.02,74.7,1,1.0,22,4,1,2,30.6,8.3,at_risk
G12_S09_0121,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,3.66,77.0,2,3.0,6,5,2,7,47.2,30.4,at_risk
G12_S07_0001,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,6.74,83.1,9,14.0,17,4,1,6,30.2,72.7,strong
G10_S08_0002,Port Said Secondary School,Port Said,Port Said,10,Grade 10 - First Secondary,4.04,75.5,17,11.0,8,9,2,3,23.4,52.3,average
G10_S06_0144,Smouha Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,4.9,96.3,11,8.0,17,7,0,6,33.2,78.8,strong
G12_S04_0036,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,5.24,83.6,2,,7,2,3,4,28.6,68.5,average
G10_S03_0139,Heliopolis Secondary School for Boys,Cairo,Cairo,10,Grade 10 - First Secondary,5.49,88.8,1,3.0,27,0,3,2,17.4,41.0,average
G11_S05_0084,Ahmed Orabi Secondary School,Giza,Giza,11,Grade 11 - Second Secondary,4.35,83.4,8,14.0,6,9,2,0,38.0,51.9,average
G11_S08_0043,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,4.49,100.0,13,0.0,3,1,0,5,23.7,60.0,average
G10_S02_0125,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,3.81,100.0,11,12.0,21,6,1,4,32.7,73.1,strong
G10_S04_0014,Maadi Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,1.08,92.6,19,12.0,21,4,2,7,32.7,66.9,average
G11_S05_0004,Ahmed Orabi Secondary School,Giza,Giza,11,Grade 11 - Second Secondary,4.63,55.1,0,13.0,10,1,4,1,25.2,44.6,average
G10_S10_0002,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,3.34,72.9,15,14.0,11,0,4,5,37.9,80.4,strong
G11_S01_0115,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,7.8,72.7,9,14.0,10,6,2,5,25.6,83.2,strong
G10_S01_0135,Al-Orman High School,Cairo,Giza,10,Grade 10 - First Secondary,5.22,92.1,8,11.0,19,2,4,4,44.6,62.9,average
G12_S09_0055,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,4.15,96.0,8,3.0,1,4,2,6,18.2,58.1,average
G11_S01_0065,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,5.92,78.4,16,7.0,15,9,4,7,33.3,64.3,average
G12_S03_0104,Heliopolis Secondary School for Boys,Cairo,Cairo,12,Grade 12 - Third Secondary,4.73,56.9,4,12.0,8,3,0,4,44.7,38.2,at_risk
G12_S07_0066,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,,77.7,2,11.0,11,7,1,4,23.2,36.4,at_risk
G10_S10_0070,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,2.79,70.2,14,2.0,1,5,4,2,33.3,27.2,at_risk
G10_S01_0018,Al-Orman High School,Cairo,Giza,10,Grade 10 - First Secondary,4.57,71.1,17,12.0,8,1,0,1,31.8,69.4,average
G12_S06_0002,Smouha Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,3.66,79.4,16,1.0,18,9,3,2,38.8,22.2,at_risk
G12_S05_0080,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,3.18,78.2,0,13.0,22,4,4,4,22.1,53.8,average
G11_S07_0010,Al-Raml Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,6.55,70.5,9,11.0,15,8,1,0,27.9,52.9,average
G10_S10_0043,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,3.8,93.7,9,9.0,5,8,3,2,16.0,27.5,at_risk
G12_S10_0144,Assiut Secondary School,Assiut,Assiut,12,Grade 12 - Third Secondary,6.46,80.3,5,10.0,27,8,3,3,24.6,48.7,average
